Transcription Factor,Binding Sites Count,Sites per 1000 bp
E-box,38,15.19392243102759
ETS,36,14.394242303078768
HSF,20,7.996801279488205
GC-box,14,5.597760895641743
SP1,14,5.597760895641743
AP-2,14,5.597760895641743
CAAT-box,10,3.9984006397441023
HRE,9,3.598560575769692
IRF,6,2.3990403838464616
YY1,3,1.1995201919232308
NF-kB,2,0.7996801279488205
TATA-box,2,0.7996801279488205
NFAT,2,0.7996801279488205
STAT,2,0.7996801279488205
GATA,1,0.39984006397441024
AP-1,0,0.0
CRE,0,0.0
CREB,0,0.0
ATF/CREB,0,0.0
OCT,0,0.0
NRF-1,0,0.0
P53,0,0.0
MYC,0,0.0
SRF,0,0.0
