Transcription Factor,Binding Sites Count,Sites per 1000 bp
E-box,49,19.5921631347461
ETS,42,16.79328268692523
HSF,36,14.394242303078768
IRF,26,10.395841663334666
GATA,19,7.596961215513795
AP-2,14,5.597760895641743
HRE,12,4.798080767692923
GC-box,10,3.9984006397441023
NFAT,10,3.9984006397441023
SP1,10,3.9984006397441023
YY1,8,3.198720511795282
MYC,8,3.198720511795282
CAAT-box,6,2.3990403838464616
P53,2,0.7996801279488205
CREB,2,0.7996801279488205
TATA-box,1,0.39984006397441024
NF-kB,1,0.39984006397441024
AP-1,0,0.0
CRE,0,0.0
STAT,0,0.0
ATF/CREB,0,0.0
OCT,0,0.0
NRF-1,0,0.0
SRF,0,0.0
