Transcription Factor,Binding Sites Count,Sites per 1000 bp
E-box,51,20.39184326269492
ETS,46,18.39264294282287
IRF,31,12.395041983206719
NFAT,22,8.796481407437025
HSF,22,8.796481407437025
GC-box,18,7.197121151539384
SP1,18,7.197121151539384
GATA,15,5.997600959616154
AP-2,14,5.597760895641743
HRE,10,3.9984006397441023
P53,6,2.3990403838464616
MYC,4,1.599360255897641
CAAT-box,4,1.599360255897641
YY1,3,1.1995201919232308
AP-1,2,0.7996801279488205
NF-kB,2,0.7996801279488205
CREB,2,0.7996801279488205
TATA-box,0,0.0
CRE,0,0.0
STAT,0,0.0
ATF/CREB,0,0.0
OCT,0,0.0
NRF-1,0,0.0
SRF,0,0.0
