Transcription Factor,Binding Sites Count,Sites per 1000 bp
ETS,72,28.788484606157535
HSF,56,22.391043582566972
IRF,32,12.794882047181128
NFAT,26,10.395841663334666
E-box,19,7.596961215513795
AP-2,14,5.597760895641743
GATA,12,4.798080767692923
GC-box,8,3.198720511795282
SP1,8,3.198720511795282
HRE,5,1.9992003198720512
YY1,5,1.9992003198720512
CREB,2,0.7996801279488205
CAAT-box,2,0.7996801279488205
NF-kB,1,0.39984006397441024
TATA-box,0,0.0
AP-1,0,0.0
CRE,0,0.0
STAT,0,0.0
ATF/CREB,0,0.0
OCT,0,0.0
NRF-1,0,0.0
P53,0,0.0
MYC,0,0.0
SRF,0,0.0
