Transcription Factor,Binding Sites Count,Sites per 1000 bp
HSF,60,23.990403838464616
ETS,54,21.591363454618154
IRF,36,14.394242303078768
E-box,30,11.995201919232308
GATA,16,6.397441023590564
CAAT-box,14,5.597760895641743
TATA-box,11,4.398240703718512
NFAT,10,3.9984006397441023
YY1,8,3.198720511795282
AP-2,6,2.3990403838464616
GC-box,4,1.599360255897641
SP1,4,1.599360255897641
P53,4,1.599360255897641
HRE,3,1.1995201919232308
CREB,2,0.7996801279488205
MYC,2,0.7996801279488205
NF-kB,0,0.0
AP-1,0,0.0
CRE,0,0.0
STAT,0,0.0
ATF/CREB,0,0.0
OCT,0,0.0
NRF-1,0,0.0
SRF,0,0.0
