Transcription Factor,Binding Sites Count,Sites per 1000 bp
E-box,65,25.989604158336665
HSF,58,23.190723710515794
ETS,42,16.79328268692523
IRF,29,11.595361855257897
NFAT,16,6.397441023590564
AP-2,16,6.397441023590564
SP1,10,3.9984006397441023
GC-box,10,3.9984006397441023
HRE,9,3.598560575769692
CAAT-box,8,3.198720511795282
CREB,6,2.3990403838464616
YY1,5,1.9992003198720512
GATA,4,1.599360255897641
P53,4,1.599360255897641
TATA-box,4,1.599360255897641
STAT,2,0.7996801279488205
NF-kB,0,0.0
AP-1,0,0.0
CRE,0,0.0
ATF/CREB,0,0.0
NRF-1,0,0.0
OCT,0,0.0
MYC,0,0.0
SRF,0,0.0
