Transcription Factor,Binding Sites Count,Sites per 1000 bp
HSF,44,17.59296281487405
ETS,32,12.794882047181128
E-box,30,11.995201919232308
IRF,22,8.796481407437025
AP-2,16,6.397441023590564
NFAT,8,3.198720511795282
P53,8,3.198720511795282
CAAT-box,6,2.3990403838464616
SP1,6,2.3990403838464616
GC-box,6,2.3990403838464616
HRE,6,2.3990403838464616
YY1,5,1.9992003198720512
STAT,4,1.599360255897641
CREB,2,0.7996801279488205
GATA,1,0.39984006397441024
TATA-box,1,0.39984006397441024
NF-kB,0,0.0
AP-1,0,0.0
CRE,0,0.0
ATF/CREB,0,0.0
NRF-1,0,0.0
OCT,0,0.0
MYC,0,0.0
SRF,0,0.0
