Transcription Factor,Binding Sites Count,Sites per 1000 bp
ETS,82,32.786885245901644
HSF,52,20.791683326669332
E-box,40,15.99360255897641
IRF,36,14.394242303078768
GATA,25,9.996001599360257
NFAT,12,4.798080767692923
YY1,7,2.7988804478208715
CAAT-box,6,2.3990403838464616
HRE,6,2.3990403838464616
AP-2,6,2.3990403838464616
P53,4,1.599360255897641
GC-box,4,1.599360255897641
SP1,4,1.599360255897641
NF-kB,4,1.599360255897641
TATA-box,3,1.1995201919232308
AP-1,0,0.0
CRE,0,0.0
ATF/CREB,0,0.0
STAT,0,0.0
CREB,0,0.0
NRF-1,0,0.0
OCT,0,0.0
MYC,0,0.0
SRF,0,0.0
