Transcription Factor,Binding Sites Count,Sites per 1000 bp
ETS,48,19.192323070771693
HSF,32,12.794882047181128
E-box,31,12.395041983206719
IRF,22,8.796481407437025
SP1,16,6.397441023590564
GC-box,16,6.397441023590564
NFAT,14,5.597760895641743
GATA,12,4.798080767692923
CAAT-box,6,2.3990403838464616
HRE,6,2.3990403838464616
AP-2,6,2.3990403838464616
TATA-box,5,1.9992003198720512
P53,2,0.7996801279488205
MYC,2,0.7996801279488205
CREB,2,0.7996801279488205
NF-kB,1,0.39984006397441024
YY1,1,0.39984006397441024
AP-1,0,0.0
CRE,0,0.0
STAT,0,0.0
ATF/CREB,0,0.0
OCT,0,0.0
NRF-1,0,0.0
SRF,0,0.0
