Transcription Factor,Binding Sites Count,Sites per 1000 bp
HSF,66,26.389444222311077
ETS,56,22.391043582566972
E-box,45,17.99280287884846
IRF,43,17.19312275089964
GATA,26,10.395841663334666
NFAT,18,7.197121151539384
SP1,12,4.798080767692923
GC-box,12,4.798080767692923
AP-2,8,3.198720511795282
CAAT-box,6,2.3990403838464616
YY1,6,2.3990403838464616
OCT,4,1.599360255897641
HRE,3,1.1995201919232308
AP-1,2,0.7996801279488205
TATA-box,1,0.39984006397441024
NF-kB,1,0.39984006397441024
CRE,0,0.0
ATF/CREB,0,0.0
STAT,0,0.0
CREB,0,0.0
NRF-1,0,0.0
P53,0,0.0
MYC,0,0.0
SRF,0,0.0
