Transcription Factor,Binding Sites Count,Sites per 1000 bp
E-box,52,20.791683326669332
HSF,50,19.992003198720514
ETS,46,18.39264294282287
IRF,24,9.596161535385846
NFAT,16,6.397441023590564
AP-2,14,5.597760895641743
GATA,12,4.798080767692923
YY1,11,4.398240703718512
GC-box,8,3.198720511795282
SP1,8,3.198720511795282
HRE,7,2.7988804478208715
CREB,4,1.599360255897641
CAAT-box,4,1.599360255897641
P53,4,1.599360255897641
TATA-box,3,1.1995201919232308
CRE,2,0.7996801279488205
MYC,2,0.7996801279488205
STAT,2,0.7996801279488205
ATF/CREB,2,0.7996801279488205
NF-kB,1,0.39984006397441024
AP-1,0,0.0
OCT,0,0.0
NRF-1,0,0.0
SRF,0,0.0
