Transcription Factor,Binding Sites Count,Sites per 1000 bp
E-box,60,23.990403838464616
ETS,42,16.79328268692523
HSF,32,12.794882047181128
IRF,27,10.795681727309077
NFAT,20,7.996801279488205
GC-box,10,3.9984006397441023
SP1,10,3.9984006397441023
AP-2,10,3.9984006397441023
GATA,9,3.598560575769692
CAAT-box,8,3.198720511795282
HRE,8,3.198720511795282
YY1,8,3.198720511795282
TATA-box,6,2.3990403838464616
AP-1,4,1.599360255897641
CREB,2,0.7996801279488205
MYC,2,0.7996801279488205
NF-kB,0,0.0
CRE,0,0.0
ATF/CREB,0,0.0
STAT,0,0.0
NRF-1,0,0.0
OCT,0,0.0
P53,0,0.0
SRF,0,0.0
