Transcription Factor,Binding Sites Count,Sites per 1000 bp
HSF,54,21.591363454618154
E-box,48,19.192323070771693
IRF,39,15.593762495002
ETS,38,15.19392243102759
GATA,26,10.395841663334666
NFAT,16,6.397441023590564
CAAT-box,10,3.9984006397441023
HRE,8,3.198720511795282
AP-2,8,3.198720511795282
TATA-box,6,2.3990403838464616
YY1,5,1.9992003198720512
CREB,4,1.599360255897641
GC-box,4,1.599360255897641
SP1,4,1.599360255897641
AP-1,2,0.7996801279488205
NF-kB,2,0.7996801279488205
P53,2,0.7996801279488205
OCT,2,0.7996801279488205
CRE,0,0.0
STAT,0,0.0
ATF/CREB,0,0.0
NRF-1,0,0.0
MYC,0,0.0
SRF,0,0.0
