Transcription Factor,Binding Sites Count,Sites per 1000 bp
HSF,64,25.589764094362256
ETS,52,20.791683326669332
IRF,43,17.19312275089964
GATA,37,14.79408236705318
E-box,18,7.197121151539384
NFAT,16,6.397441023590564
SP1,12,4.798080767692923
GC-box,12,4.798080767692923
CAAT-box,6,2.3990403838464616
CREB,6,2.3990403838464616
TATA-box,6,2.3990403838464616
YY1,5,1.9992003198720512
AP-2,4,1.599360255897641
HRE,3,1.1995201919232308
CRE,0,0.0
AP-1,0,0.0
NF-kB,0,0.0
STAT,0,0.0
ATF/CREB,0,0.0
OCT,0,0.0
NRF-1,0,0.0
P53,0,0.0
MYC,0,0.0
SRF,0,0.0
