Transcription Factor,Binding Sites Count,Sites per 1000 bp
HSF,56,22.391043582566972
ETS,46,18.39264294282287
GATA,26,10.395841663334666
E-box,23,9.196321471411435
IRF,23,9.196321471411435
GC-box,10,3.9984006397441023
SP1,10,3.9984006397441023
NFAT,10,3.9984006397441023
HRE,7,2.7988804478208715
TATA-box,6,2.3990403838464616
AP-2,6,2.3990403838464616
P53,6,2.3990403838464616
STAT,4,1.599360255897641
CREB,4,1.599360255897641
CAAT-box,4,1.599360255897641
YY1,3,1.1995201919232308
AP-1,2,0.7996801279488205
NF-kB,2,0.7996801279488205
MYC,2,0.7996801279488205
CRE,0,0.0
ATF/CREB,0,0.0
OCT,0,0.0
NRF-1,0,0.0
SRF,0,0.0
