Transcription Factor,Binding Sites Count,Sites per 1000 bp
ETS,64,25.589764094362256
HSF,56,22.391043582566972
E-box,41,16.393442622950822
IRF,34,13.594562175129948
NFAT,20,7.996801279488205
CAAT-box,18,7.197121151539384
AP-2,12,4.798080767692923
GATA,8,3.198720511795282
CREB,8,3.198720511795282
HRE,6,2.3990403838464616
P53,4,1.599360255897641
GC-box,4,1.599360255897641
SP1,4,1.599360255897641
NF-kB,2,0.7996801279488205
TATA-box,1,0.39984006397441024
AP-1,0,0.0
CRE,0,0.0
STAT,0,0.0
ATF/CREB,0,0.0
OCT,0,0.0
NRF-1,0,0.0
YY1,0,0.0
MYC,0,0.0
SRF,0,0.0
