Transcription Factor,Binding Sites Count,Sites per 1000 bp
HSF,62,24.790083966413437
ETS,56,22.391043582566972
IRF,28,11.195521791283486
E-box,24,9.596161535385846
GATA,22,8.796481407437025
GC-box,22,8.796481407437025
SP1,22,8.796481407437025
NFAT,10,3.9984006397441023
HRE,9,3.598560575769692
CAAT-box,8,3.198720511795282
AP-2,8,3.198720511795282
TATA-box,7,2.7988804478208715
MYC,4,1.599360255897641
YY1,4,1.599360255897641
P53,4,1.599360255897641
CREB,4,1.599360255897641
NF-kB,0,0.0
AP-1,0,0.0
CRE,0,0.0
STAT,0,0.0
ATF/CREB,0,0.0
OCT,0,0.0
NRF-1,0,0.0
SRF,0,0.0
