Transcription Factor,Binding Sites Count,Sites per 1000 bp
HSF,68,27.189124350259895
ETS,60,23.990403838464616
E-box,46,18.39264294282287
IRF,42,16.79328268692523
NFAT,30,11.995201919232308
GATA,22,8.796481407437025
YY1,13,5.197920831667333
CAAT-box,10,3.9984006397441023
SP1,8,3.198720511795282
GC-box,8,3.198720511795282
HRE,8,3.198720511795282
TATA-box,6,2.3990403838464616
AP-2,4,1.599360255897641
CREB,4,1.599360255897641
STAT,2,0.7996801279488205
CRE,0,0.0
NF-kB,0,0.0
AP-1,0,0.0
ATF/CREB,0,0.0
OCT,0,0.0
NRF-1,0,0.0
P53,0,0.0
MYC,0,0.0
SRF,0,0.0
