matrix_id,name,tf_class,family,tax_group,species,acc,information_content,binding_preference
MA0004.1,Arnt,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0013.1,br,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0021.1,Dof3,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0022.1,dl,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0023.1,dl,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0026.1,Eip74EF,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0049.1,hb,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0053.1,MNB1A,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0054.1,myb.Ph3,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0064.1,PBF,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0069.1,PAX6,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0071.1,RORA,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0074.1,RXRA::VDR,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0096.1,bZIP910,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0097.1,bZIP911,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0101.1,REL,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0107.1,RELA,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0111.1,Spz1,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0115.1,NR1H2::RXRA,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0116.1,Znf423,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0119.1,NFIC::TLX1,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0123.1,abi4,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0128.1,EmBP-1,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0129.1,TGA1A,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0130.1,ZNF354C,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0142.1,Pou5f1::Sox2,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0149.1,EWSR1-FLI1,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0151.1,Arid3a,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0155.1,INSM1,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0159.1,RARA::RXRA,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0163.1,PLAG1,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0165.1,Abd-B,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0166.1,Antp,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0167.1,Awh,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0168.1,B-H1,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0169.1,B-H2,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0170.1,C15,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0171.1,CG11085,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0172.1,CG11294,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0173.1,CG11617,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0174.1,Dbx,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0175.1,lms,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0176.1,CG15696,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0177.1,CG18599,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0178.1,CG32105,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0179.1,CG32532,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0180.1,Vsx2,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0181.1,Vsx1,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0182.1,CG4328,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0183.1,HHEX,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0186.1,Dfd,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0187.1,Dll,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0188.1,Dr,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0190.1,Gsc,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0191.1,HGTX,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0192.1,Hmx,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0193.1,schlank,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0194.1,Lim1,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0196.1,NK7.1,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0198.1,OdsH,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0199.1,Optix,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0201.1,Ptx1,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0202.1,Rx,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0203.1,Scr,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0204.1,Six4,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0206.1,abd-A,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0207.1,achi,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0208.1,al,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0209.1,ap,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0210.1,ara,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0211.1,bap,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0212.1,bcd,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0213.1,brk,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0214.1,bsh,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0215.1,btn,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0217.1,caup,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0218.1,ct,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0219.1,ems,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0220.1,en,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0221.1,eve,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0224.1,exex,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0225.1,ftz,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0226.1,hbn,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0227.1,hth,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0228.1,ind,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0229.1,inv,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0230.1,lab,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0231.1,lbe,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0232.1,lbl,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0233.1,mirr,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0234.1,oc,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0235.1,onecut,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0236.1,otp,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0238.1,pb,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0240.1,repo,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0241.1,ro,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0242.1,Bgb::run,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0244.1,slbo,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0245.1,slou,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0246.1,so,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0248.1,tup,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0250.1,unc-4,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0251.1,unpg,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0253.1,vnd,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0254.1,vvl,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0256.1,zen,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0260.1,che-1,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0261.1,lin-14,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0262.1,mab-3,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0263.1,ceh-10::ttx-3,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0271.1,ARG80,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0274.1,ARR1,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0275.1,ASG1,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0276.1,ASH1,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0277.1,AZF1,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0283.1,CHA4,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0287.1,CUP2,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0288.1,CUP9,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0289.1,DAL80,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0290.1,DAL81,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0291.1,DAL82,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0297.1,FKH2,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0299.1,GAL4,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0304.1,GCR1,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0307.1,GLN3,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0311.1,HAL9,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0313.1,HAP2,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0318.1,HMRA2,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0320.1,IME1,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
